String Length (l),Initial Detectors (N),Matching Threshold (r),Structural Weight (alpha),Mean Pathogen Fitness,Fitness StdDev,Mean Protein Score,Protein StdDev,Mean Detector Survival Rate
20,500,3,0.5,0.33784186243451786,0.001961433715989982,0.5368833333333333,0.0030795923251121,1.0
20,500,3,0.8,0.3048400783071405,0.0010198039027185571,0.5317500000000001,0.0028393074272905355,1.0
20,500,3,1.0,0.2853166666666666,0.0014777986631774,0.5346333333333333,0.0031359032014538794,1.0
20,500,8,0.0,0.49958352077431994,0.00011776277621414838,0.6118833333333332,0.011845134960067857,0.0
20,500,8,0.2,0.47723004999166774,0.0022428701849787403,0.6389,0.009447839259146284,0.0
20,500,8,0.5,0.44655839581597606,0.002967232028643243,0.6413333333333334,0.0067956276792916935,0.0
20,500,8,0.8,0.40597667916458363,0.006950133491923431,0.6314666666666667,0.008488848894611987,0.0
20,500,8,1.0,0.39196666666666663,0.00797760755002541,0.6427333333333334,0.008455504453050502,0.0
20,2000,2,0.0,0.0001226264803904808,0.0001734200316742963,0.6253,0.0021381456139997626,1.0
20,2000,2,0.2,0.0,0.0,0.6217666666666667,0.004309743482956828,1.0
20,2000,2,0.5,0.0,0.0,0.6221833333333334,0.002692685565667764,1.0
20,2000,2,0.8,6.238392548952564e-05,8.822419350135979e-05,0.6240833333333334,0.0027776888874666335,1.0
20,2000,2,1.0,0.0,0.0,0.6272666666666666,0.0008488554385498509,1.0
20,2000,3,0.0,0.0025751560882000964,0.0003003723059100853,0.6189333333333332,0.0040892813821284376,1.0
20,2000,3,0.2,0.002442993905851513,0.0005623517941682083,0.6203666666666666,0.0021448905695992298,1.0
20,2000,3,0.5,0.0017209113774333815,0.0007034022584017281,0.6200333333333333,0.0021378857676582117,1.0
20,2000,3,0.8,0.0009881219960723975,0.0008549705721521026,0.6210166666666667,0.0023271346234275334,1.0
20,2000,3,1.0,0.0006833333333333332,0.00044032816045409687,0.6227666666666667,0.003479543392777619,1.0
20,2000,8,0.0,0.4996667916319523,0.00011776277621414838,0.5992166666666666,0.010746653225798057,0.0
20,2000,8,0.2,0.4774567166583344,0.0007985125059898381,0.6371,0.004332628147748992,0.0
20,2000,8,0.5,0.4380333645781256,0.005560625464419965,0.6277499999999999,0.011178327245165107,0.0
