String Length (l),Initial Detectors (N),Matching Threshold (r),Repetition,Generation,Mean Pathogen Fitness,Mean Protein Score,Unique Detectors,Detector Shannon,Detector Hamming,Unique Pathogens,Pathogen Shannon,Pathogen Hamming,Active Detectors,Average Detector Coverage
5,500,2,1,42,0.0,0.49560000000000004,13,2.5442781792072076,2.029250501002004,32,3.4494984749021977,2.5013213213213215,500,0.5936499999999999
5,500,2,1,43,0.0,0.5036,13,2.5442781792072076,2.029250501002004,32,3.4480684408100304,2.500236236236236,500,0.5992419999999999
5,500,2,1,44,0.0,0.5014,13,2.5442781792072076,2.029250501002004,32,3.4572232745767435,2.501867867867868,500,0.5915060000000001
5,500,2,1,45,0.0,0.5027999999999999,13,2.5442781792072076,2.029250501002004,32,3.453399924766857,2.500776776776777,500,0.6004959999999999
5,500,2,1,46,0.0,0.4982,13,2.5442781792072076,2.029250501002004,32,3.4493044562714332,2.5013513513513512,500,0.596166
5,500,2,1,47,0.0,0.499,13,2.5442781792072076,2.029250501002004,32,3.449504478517683,2.5006626626626627,500,0.593656
5,500,2,1,48,0.0,0.492,13,2.5442781792072076,2.029250501002004,32,3.4483954407259265,2.499943943943944,500,0.593166
5,500,2,1,49,0.0,0.5,13,2.5442781792072076,2.029250501002004,32,3.4525238739621376,2.5011291291291293,500,0.598278
5,500,2,1,50,0.0,0.5052000000000001,13,2.5442781792072076,2.029250501002004,32,3.447351003132971,2.499867867867868,500,0.603742
5,500,2,1,51,0.0,0.49739999999999995,13,2.5442781792072076,2.029250501002004,32,3.449676106231797,2.5004584584584584,500,0.593392
5,500,2,1,52,0.0,0.5066,13,2.5442781792072076,2.029250501002004,32,3.450795425777447,2.5014394394394395,500,0.600954
5,500,2,1,53,0.0,0.498,13,2.5442781792072076,2.029250501002004,32,3.44893079065928,2.50201001001001,500,0.591366
5,500,2,1,54,0.0,0.49460000000000004,13,2.5442781792072076,2.029250501002004,32,3.4510754307932676,2.501927927927928,500,0.5896199999999999
5,500,2,1,55,0.0,0.499,13,2.5442781792072076,2.029250501002004,32,3.4499533166003484,2.5012672672672673,500,0.593238
5,500,2,1,56,0.0,0.497,13,2.5442781792072076,2.029250501002004,32,3.4550356872965127,2.5012312312312313,500,0.594322
5,500,2,1,57,0.0,0.49260000000000004,13,2.5442781792072076,2.029250501002004,32,3.449830735156991,2.5007587587587587,500,0.5814819999999999
5,500,2,1,58,0.0,0.497,13,2.5442781792072076,2.029250501002004,32,3.4549859267226646,2.502048048048048,500,0.590564
5,500,2,1,59,0.0,0.5057999999999999,13,2.5442781792072076,2.029250501002004,32,3.4556816919903097,2.501163163163163,500,0.5986079999999999
5,500,2,1,60,0.0,0.5034,13,2.5442781792072076,2.029250501002004,32,3.4465392748052825,2.501983983983984,500,0.5967480000000001
5,500,2,1,61,0.0,0.49960000000000004,13,2.5442781792072076,2.029250501002004,32,3.4498660670881245,2.5000880880880882,500,0.59775
5,500,2,1,62,0.0,0.498,13,2.5442781792072076,2.029250501002004,32,3.450731329374377,2.5017057057057057,500,0.593668
5,500,2,1,63,0.0,0.5027999999999999,13,2.5442781792072076,2.029250501002004,32,3.4488673729004002,2.50014014014014,500,0.6018219999999999
5,500,2,1,64,0.0,0.49539999999999995,13,2.5442781792072076,2.029250501002004,32,3.451083900352111,2.501315315315315,500,0.5917259999999999
5,500,2,1,65,0.0,0.5072000000000001,13,2.5442781792072076,2.029250501002004,32,3.4515939554342037,2.501717717717718,500,0.5996279999999999
5,500,2,1,66,0.0,0.49460000000000004,13,2.5442781792072076,2.029250501002004,32,3.454527946787093,2.5017317317317316,500,0.5835499999999999
5,500,2,1,67,0.0,0.5034,13,2.5442781792072076,2.029250501002004,32,3.4509582953615903,2.501007007007007,500,0.6003099999999999
5,500,2,1,68,0.0,0.5102000000000001,13,2.5442781792072076,2.029250501002004,32,3.4500123964874048,2.49982982982983,500,0.6025320000000001
5,500,2,1,69,0.0,0.495,13,2.5442781792072076,2.029250501002004,32,3.4461895270402723,2.500158158158158,500,0.592654
5,500,2,1,70,0.0,0.5054,13,2.5442781792072076,2.029250501002004,32,3.455173316618362,2.5014714714714716,500,0.6013440000000001
5,500,2,1,71,0.0,0.5056,13,2.5442781792072076,2.029250501002004,32,3.4463022213455607,2.4996476476476475,500,0.60237
5,500,2,1,72,0.0,0.501,13,2.5442781792072076,2.029250501002004,32,3.456431610170881,2.500598598598599,500,0.597502
5,500,2,1,73,0.0,0.49439999999999995,13,2.5442781792072076,2.029250501002004,32,3.455363479281529,2.5015575575575575,500,0.590476
5,500,2,1,74,0.0,0.49660000000000004,13,2.5442781792072076,2.029250501002004,32,3.455011924262359,2.50035035035035,500,0.5940339999999998
5,500,2,1,75,0.0,0.501,13,2.5442781792072076,2.029250501002004,32,3.4481404780630727,2.501215215215215,500,0.594996
5,500,2,1,76,0.0,0.49960000000000004,13,2.5442781792072076,2.029250501002004,32,3.4488746822855707,2.500212212212212,500,0.5961839999999999
5,500,2,1,77,0.0,0.502,13,2.5442781792072076,2.029250501002004,32,3.4540714134863255,2.501833833833834,500,0.5980840000000001
5,500,2,1,78,0.0,0.49920000000000003,13,2.5442781792072076,2.029250501002004,32,3.446736110870371,2.5020780780780782,500,0.5953879999999999
5,500,2,1,79,0.0,0.5038,13,2.5442781792072076,2.029250501002004,32,3.4531522864976454,2.5004784784784784,500,0.6000519999999999
5,500,2,1,80,0.0,0.5022,13,2.5442781792072076,2.029250501002004,32,3.4520884368585563,2.5001461461461463,500,0.597164
5,500,2,1,81,0.0,0.5006,13,2.5442781792072076,2.029250501002004,32,3.4554660193315647,2.5003583583583584,500,0.597742
5,500,2,1,82,0.0,0.5012,13,2.5442781792072076,2.029250501002004,32,3.4529862515095457,2.5019219219219218,500,0.597072
5,500,2,1,83,0.0,0.4978000000000001,13,2.5442781792072076,2.029250501002004,32,3.4484064354108224,2.501931931931932,500,0.59175
5,500,2,1,84,0.0,0.49539999999999995,13,2.5442781792072076,2.029250501002004,32,3.454621270062184,2.500870870870871,500,0.5939739999999999
5,500,2,1,85,0.0,0.49839999999999995,13,2.5442781792072076,2.029250501002004,32,3.448951750508108,2.4998718718718718,500,0.5925799999999999
5,500,2,1,86,0.0,0.5022,13,2.5442781792072076,2.029250501002004,32,3.453630455851767,2.50208008008008,500,0.594828
5,500,2,1,87,0.0,0.497,13,2.5442781792072076,2.029250501002004,32,3.453727250437587,2.5017837837837837,500,0.5909939999999999
5,500,2,1,88,0.0,0.5036,13,2.5442781792072076,2.029250501002004,32,3.4506568808508455,2.5014414414414414,500,0.5995280000000001
5,500,2,1,89,0.0,0.5025999999999999,13,2.5442781792072076,2.029250501002004,32,3.449841471087443,2.501075075075075,500,0.5965519999999999
5,500,2,1,90,0.0,0.5016,13,2.5442781792072076,2.029250501002004,32,3.4526657796549287,2.5014814814814814,500,0.601332
5,500,2,1,91,0.0,0.5057999999999999,13,2.5442781792072076,2.029250501002004,32,3.453527830052448,2.5008428428428426,500,0.599812
5,500,2,1,92,0.0,0.502,13,2.5442781792072076,2.029250501002004,32,3.454650656878942,2.502242242242242,500,0.596012
5,500,2,1,93,0.0,0.49939999999999996,13,2.5442781792072076,2.029250501002004,32,3.4446955570723343,2.5012312312312313,500,0.598074
5,500,2,1,94,0.0,0.49960000000000004,13,2.5442781792072076,2.029250501002004,32,3.447951467152498,2.501837837837838,500,0.5896019999999998
5,500,2,1,95,0.0,0.49920000000000003,13,2.5442781792072076,2.029250501002004,32,3.4519603963876606,2.5015535535535536,500,0.597232
5,500,2,1,96,0.0,0.5048,13,2.5442781792072076,2.029250501002004,32,3.4561248438806436,2.5012252252252254,500,0.599474
5,500,2,1,97,0.0,0.5076,13,2.5442781792072076,2.029250501002004,32,3.450793515564606,2.4994154154154153,500,0.6069019999999999
5,500,2,1,98,0.0,0.5108,13,2.5442781792072076,2.029250501002004,32,3.4476611955534313,2.498766766766767,500,0.603952
5,500,2,1,99,0.0,0.49539999999999995,13,2.5442781792072076,2.029250501002004,32,3.4492296510889893,2.501935935935936,500,0.586382
5,500,2,2,0,0.0,0.5008,13,2.5524310513074857,2.064609218436874,32,3.4514279023564978,2.5,500,0.5906039999999999
5,500,2,2,1,0.0,0.498,13,2.5524310513074857,2.064609218436874,32,3.453395331042893,2.4999519519519517,500,0.594908
5,500,2,2,2,0.0,0.4948,13,2.5524310513074857,2.064609218436874,32,3.446190533950949,2.499987987987988,500,0.589788
5,500,2,2,3,0.0,0.5018,13,2.5524310513074857,2.064609218436874,32,3.449235877572379,2.5014394394394395,500,0.594994
5,500,2,2,4,0.0,0.5062,13,2.5524310513074857,2.064609218436874,32,3.4497555673078644,2.50035035035035,500,0.593376
5,500,2,2,5,0.0,0.5062,13,2.5524310513074857,2.064609218436874,32,3.4511742299215507,2.4995295295295294,500,0.599634
5,500,2,2,6,0.0,0.5022000000000001,13,2.5524310513074857,2.064609218436874,32,3.450210867360319,2.501391391391391,500,0.5980759999999998
5,500,2,2,7,0.0,0.5022,13,2.5524310513074857,2.064609218436874,32,3.4479300726254305,2.4996456456456455,500,0.595194
5,500,2,2,8,0.0,0.5014,13,2.5524310513074857,2.064609218436874,32,3.4460637757730357,2.5007627627627627,500,0.600164
5,500,2,2,9,0.0,0.5022000000000001,13,2.5524310513074857,2.064609218436874,32,3.447304404832323,2.501983983983984,500,0.600576
5,500,2,2,10,0.0,0.49920000000000003,13,2.5524310513074857,2.064609218436874,32,3.446912599967586,2.502202202202202,500,0.5940460000000001
5,500,2,2,11,0.0,0.5062000000000001,13,2.5524310513074857,2.064609218436874,32,3.448832983287326,2.499805805805806,500,0.595606
5,500,2,2,12,0.0,0.498,13,2.5524310513074857,2.064609218436874,32,3.450842282883169,2.5015375375375375,500,0.592212
5,500,2,2,13,0.0,0.5137999999999999,13,2.5524310513074857,2.064609218436874,32,3.443920336360237,2.499973973973974,500,0.604108
5,500,2,2,14,0.0,0.5058,13,2.5524310513074857,2.064609218436874,32,3.447647852145355,2.4953973973973973,500,0.600522
5,500,2,2,15,0.0,0.5002,13,2.5524310513074857,2.064609218436874,32,3.4482887485898237,2.500794794794795,500,0.5950080000000001
5,500,2,2,16,0.0,0.4882,13,2.5524310513074857,2.064609218436874,32,3.4431979833003084,2.4965505505505505,500,0.5932860000000001
5,500,2,2,17,0.0,0.49620000000000003,13,2.5524310513074857,2.064609218436874,32,3.446907394779098,2.501219219219219,500,0.593348
5,500,2,2,18,0.0,0.496,13,2.5524310513074857,2.064609218436874,32,3.451836545101832,2.5015935935935936,500,0.592386
5,500,2,2,19,0.0,0.5036,13,2.5524310513074857,2.064609218436874,32,3.4473083464991894,2.5005485485485486,500,0.5987680000000001
5,500,2,2,20,0.0,0.495,13,2.5524310513074857,2.064609218436874,32,3.4407475228842315,2.5004624624624623,500,0.591406
5,500,2,2,21,0.0,0.5004000000000001,13,2.5524310513074857,2.064609218436874,32,3.449132562241251,2.499807807807808,500,0.5930179999999999
5,500,2,2,22,0.0,0.49839999999999995,13,2.5524310513074857,2.064609218436874,32,3.450327141977061,2.5012892892892893,500,0.5905359999999998
5,500,2,2,23,0.0,0.499,13,2.5524310513074857,2.064609218436874,32,3.4450242776852775,2.49826026026026,500,0.60065
5,500,2,2,24,0.0,0.5036,13,2.5524310513074857,2.064609218436874,32,3.4513526930115095,2.500952952952953,500,0.596948
5,500,2,2,25,0.0,0.5006,13,2.5524310513074857,2.064609218436874,32,3.449864494674952,2.5003743743743745,500,0.5950840000000001
